"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right" "err"
"clockwise" 0.75 0.0833333333333333 0.0833333333333333 0.0833333333333333 0 0 0 0.25
"counterclockwise" 0 1 0 0 0 0 0 0
"left" 0 0 1 0 0 0 0 0
"node_head" 0 0 0 1 0 0 0 0
"omega_left" 0.181818181818182 0.0909090909090909 0 0 0.727272727272727 0 0 0.272727272727273
"omega_right" 0 0.636363636363636 0 0 0 0.363636363636364 0 0.636363636363636
"right" 0 0 0 0 0 0 1 0
