"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right"
"clockwise" 12 0 0 0 0 0 0
"counterclockwise" 0 11 0 0 0 0 0
"left" 2 0 9 0 0 0 0
"node_head" 0 0 0 22 0 0 0
"omega_left" 0 1 0 0 11 0 0
"omega_right" 2 0 0 0 0 10 0
"right" 0 1 0 0 0 0 10
