"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right"
"clockwise" 9 0 0 2 0 1 0
"counterclockwise" 0 11 0 0 0 0 0
"left" 3 0 9 0 0 0 0
"node_head" 0 0 0 23 0 0 0
"omega_left" 0 0 0 6 5 0 0
"omega_right" 0 0 0 5 0 6 0
"right" 0 1 0 0 0 0 10
