"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right"
"clockwise" 13 0 0 1 0 0 0
"counterclockwise" 0 5 0 6 0 0 0
"left" 1 0 10 0 0 0 0
"node_head" 1 1 0 9 0 0 0
"omega_left" 0 0 0 0 11 0 0
"omega_right" 0 0 0 1 0 10 0
"right" 0 1 0 0 0 0 10
