q;1567358645640;-0.14937063,-0.29867727,-0.085894674,0.9386706,
v;1567358645640;-0.338135991660157,-0.603072141287958,-0.0764240878725716
q;1567358645664;-0.149518,-0.2985464,-0.08563395,0.93871254,
v;1567358645664;-0.338253706447087,-0.602884450283296,-0.0758625329236058
q;1567358645688;-0.14968231,-0.29810926,-0.085147195,0.9388696,
v;1567358645688;-0.338243548390573,-0.602097816762759,-0.0749540204253737
q;1567358645712;-0.1491834,-0.2970695,-0.084969796,0.9392945,
v;1567358645712;-0.337085651167955,-0.599811909909875,-0.0752920039050161
q;1567358645738;-0.14807595,-0.29337257,-0.08366696,0.9407475,
v;1567358645738;-0.33386318907177,-0.591988708159606,-0.0747280394279242
q;1567358645764;-0.1462387,-0.28487134,-0.08251877,0.9437443,
v;1567358645764;-0.328938206489762,-0.573589104995731,-0.076613270753807
q;1567358645789;-0.1438961,-0.2713263,-0.082319655,0.9481031,
v;1567358645789;-0.32312106779336,-0.544026286712028,-0.0823599155801666
q;1567358645813;-0.14053674,-0.25156128,-0.08392597,0.9538987,
v;1567358645813;-0.315551381935673,-0.500700758848015,-0.0941894428343675
q;1567358645837;-0.13777995,-0.22998047,-0.08669408,0.95948416,
v;1567358645837;-0.309173312159613,-0.45361024344471,-0.108327819704386
q;1567358645860;-0.13519882,-0.2049103,-0.090420835,0.96517205,
v;1567358645860;-0.302635079513608,-0.399291278602299,-0.125134349258538
q;1567358645885;-0.13197455,-0.17615397,-0.09352428,0.97098184,
v;1567358645885;-0.293431897249932,-0.337968667350109,-0.141631670029094
q;1567358645909;-0.12826715,-0.14592151,-0.09714024,0.9761241,
v;1567358645909;-0.282501658402456,-0.274104374075117,-0.159161512012906
q;1567358645933;-0.12639779,-0.119038455,-0.1004479,0.9796753,
v;1567358645933;-0.275025949506041,-0.217676476945294,-0.174108904547384
q;1567358645955;-0.12538381,-0.09547284,-0.10305373,0.98211193,
v;1567358645955;-0.269199171263462,-0.168524934361787,-0.186221780240508
q;1567358645976;-0.12406377,-0.07192727,-0.105223194,0.98405427,
v;1567358645976;-0.262305417821601,-0.119827380794041,-0.197221968290182
q;1567358645997;-0.12289089,-0.052173864,-0.10858138,0.9850816,
v;1567358645997;-0.256240219684828,-0.0787537598611544,-0.209414505523961
q;1567358646018;-0.12259782,-0.036694396,-0.11064126,0.98558706,
v;1567358646018;-0.252454573545622,-0.0466989760761785,-0.217655179248137
q;1567358646039;-0.12190275,-0.024601951,-0.11039347,0.98607695,
v;1567358646039;-0.248389053997698,-0.0222901794625636,-0.22019317230528
q;1567358646061;-0.11980667,-0.016546614,-0.11136882,0.9863922,
v;1567358646061;-0.242405287174241,-0.00613690657641705,-0.224110711220663
q;1567358646083;-0.11917989,-0.012716162,-0.11226397,0.9864235,
v;1567358646083;-0.24028435549646,0.00172163597054162,-0.226850881158352
q;1567358646105;-0.11950537,-0.010206248,-0.111613914,0.98648703,
v;1567358646105;-0.240367228742018,0.00673390670430926,-0.226140618745631
q;1567358646128;-0.119996615,-0.01066612,-0.11128871,0.98645926,
v;1567358646128;-0.241456967547983,0.00583443683247766,-0.22539047653385
q;1567358646158;-0.1204442,-0.015617198,-0.11177074,0.98628426,
v;1567358646158;-0.243473912935357,-0.00399969432014579,-0.225197984774669
q;1567358646182;-0.120741606,-0.024821095,-0.10961416,0.98630124,
v;1567358646182;-0.246093142908991,-0.0231929574768745,-0.2184963596548
q;1567358646207;-0.121140465,-0.038354218,-0.10743155,0.986059,
v;1567358646207;-0.249731913195805,-0.0512210711169126,-0.210614157112218
q;1567358646232;-0.12275836,-0.052847464,-0.10570208,0.9853754,
v;1567358646232;-0.255881504336538,-0.080917584986701,-0.203309381603411
