"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right"
"clockwise" 10 0 0 1 0 0 0
"counterclockwise" 1 9 0 0 1 0 0
"left" 0 0 12 0 0 0 0
"node_head" 7 0 0 4 0 0 0
"omega_left" 0 0 0 0 12 0 0
"omega_right" 0 0 0 0 0 11 0
"right" 0 0 0 0 0 0 11
