q;1567358925602;1.38777878078145e-17,0,0,1,
v;1567358925602;2.77555756156289e-17,0,0
q;1567358925631;0.000687350440197215,-0.000344078477318537,0.000596668896920182,0.999999502948832,
v;1567358925631;0.00137511123232213,-0.00068733707530333,0.00119286560641129
q;1567358925661;0.00178848183860143,-0.000231594545839386,0.00115849326435883,0.999997672196547,
v;1567358925661;0.0035774995832791,-0.000459047078815481,0.0023161696225774
q;1567358925688;0.00260134311897528,-0.000406358884692599,0.00166670654157083,0.999995091584918,
v;1567358925688;0.00520403875231086,-0.000804053403349865,0.00333133383476919
q;1567358925714;0.0049646942807479,-0.001386510174638,0.00263675027109724,0.999983199339112,
v;1567358925714;0.0099366970240681,-0.00274693150918977,0.00525992867384729
q;1567358925740;0.00778269410673976,-0.00177556189983212,0.00379460349332327,0.999960887392732,
v;1567358925740;0.0155788846798556,-0.00349235131886953,0.00756226258031635
q;1567358925763;0.0103574654637237,-0.00209951572590534,0.00527701189311999,0.999930188751433,
v;1567358925763;0.0207371293587661,-0.00409031622339118,0.0105122494471154
q;1567358925788;0.014145351307651,-0.00235569315104247,0.00717305421892492,0.999871406753939,
v;1567358925788;0.0283246469089806,-0.00450967388784905,0.0142838344028461
q;1567358925812;0.0201060542035868,-0.00272646553487314,0.00954213375280647,0.999748570379581,
v;1567358925812;0.0402649096086939,-0.00507198340710232,0.0189863608527229
q;1567358925837;0.0263575969644833,-0.0028815090846364,0.0126793014426788,0.999567948642238,
v;1567358925837;0.0527900049485372,-0.00509926210669809,0.025233573491381
q;1567358925861;0.032355981766686,-0.00396038568700198,0.016327180799985,0.999335135970824,
v;1567358925861;0.0648436946220318,-0.00687344055040864,0.032450247369097
q;1567358925885;0.0412074003535492,-0.0057358338573748,0.0206060456173741,0.99892160942493,
v;1567358925885;0.0826563981142045,-0.0097946495789499,0.0408456999471382
q;1567358925909;0.0538745726996352,-0.00795711679031586,0.0251977742463902,0.998198029452825,
v;1567358925909;0.108166790746437,-0.013248330804168,0.0497585804954216
q;1567358925933;0.0687158882509333,-0.0103483818953635,0.0303311572266418,0.997121310066309,
v;1567358925933;0.138102479929722,-0.0166277915573442,0.0596686589238351
q;1567358925961;0.0880314449886735,-0.0144162609413697,0.0376058600883441,0.995303156212606,
