"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right"
"clockwise" 12 1 0 0 1 0 0
"counterclockwise" 0 11 0 0 0 0 0
"left" 0 0 10 0 0 0 1
"node_head" 0 2 0 7 0 1 0
"omega_left" 0 2 0 0 8 0 0
"omega_right" 1 0 0 2 1 7 0
"right" 0 0 0 1 0 0 9
