"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right" "err"
"clockwise" 1 0 0 0 0 0 0 0
"counterclockwise" 0 1 0 0 0 0 0 0
"left" 0 0 1 0 0 0 0 0
"node_head" 0.181818181818182 0 0 0.818181818181818 0 0 0 0.181818181818182
"omega_left" 0 0 0 0 1 0 0 0
"omega_right" 0 0 0 0 0 1 0 0
"right" 0 0 0 0 0 0 1 0
