"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right" "err"
"clockwise" 0.636363636363636 0 0 0.0909090909090909 0.181818181818182 0 0.0909090909090909 0.363636363636364
"counterclockwise" 0 1 0 0 0 0 0 0
"left" 0 0 1 0 0 0 0 0
"node_head" 0.230769230769231 0 0 0.769230769230769 0 0 0 0.230769230769231
"omega_left" 0 0 0 0 1 0 0 0
"omega_right" 0 0 0 0 0 1 0 0
"right" 0 0.181818181818182 0 0 0 0 0.818181818181818 0.181818181818182
