"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right"
"clockwise" 12 0 1 0 1 0 0
"counterclockwise" 0 11 0 0 0 0 0
"left" 0 0 10 0 0 0 1
"node_head" 0 0 0 10 0 0 0
"omega_left" 0 3 0 0 7 0 0
"omega_right" 4 0 1 0 0 6 0
"right" 0 0 0 0 0 0 10
