"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right" "err"
"clockwise" 1 0 0 0 0 0 0 0
"counterclockwise" 0 1 0 0 0 0 0 0
"left" 0 0 0.454545454545455 0 0.0909090909090909 0 0.454545454545455 0.545454545454545
"node_head" 0.0769230769230769 0 0 0.846153846153846 0.0769230769230769 0 0 0.153846153846154
"omega_left" 0 0 0 0 1 0 0 0
"omega_right" 0 0 0 0 0 1 0 0
"right" 0 0 0 0 0 0 1 0
