"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right"
"clockwise" 11 0 0 0 0 0 0
"counterclockwise" 0 12 0 0 0 0 0
"left" 0 0 5 0 1 0 5
"node_head" 1 0 0 11 1 0 0
"omega_left" 0 0 0 0 11 0 0
"omega_right" 0 0 0 0 0 12 0
"right" 0 0 0 0 0 0 11
