"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right"
"clockwise" 7 0 0 0 2 0 2
"counterclockwise" 0 12 0 0 0 0 0
"left" 0 0 11 0 0 0 0
"node_head" 0 0 0 13 0 0 0
"omega_left" 0 0 0 0 11 0 0
"omega_right" 0 0 0 0 0 12 0
"right" 0 2 0 0 0 0 9
