"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right" "err"
"clockwise" 0.857142857142857 0 0.0714285714285714 0 0.0714285714285714 0 0 0.142857142857143
"counterclockwise" 0.181818181818182 0.727272727272727 0 0 0.0909090909090909 0 0 0.272727272727273
"left" 0.181818181818182 0 0.818181818181818 0 0 0 0 0.181818181818182
"node_head" 0 0.1 0 0.9 0 0 0 0.1
"omega_left" 0 0.2 0 0 0.8 0 0 0.2
"omega_right" 0 0 0.0909090909090909 0 0 0.909090909090909 0 0.0909090909090909
"right" 0 0 0 0 0 0 1 0
