"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right"
"clockwise" 10 2 0 2 0 0 0
"counterclockwise" 0 10 1 0 0 0 0
"left" 0 0 11 0 0 0 0
"node_head" 0 1 0 9 0 0 0
"omega_left" 0 3 0 0 7 0 0
"omega_right" 1 0 0 3 0 7 0
"right" 0 0 0 1 0 0 9
