"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right" "err"
"clockwise" 0.833333333333333 0.0833333333333333 0 0.0833333333333333 0 0 0 0.166666666666667
"counterclockwise" 0 0.818181818181818 0 0 0 0 0.181818181818182 0.181818181818182
"left" 0.0833333333333333 0 0.916666666666667 0 0 0 0 0.0833333333333333
"node_head" 0 0 0 1 0 0 0 0
"omega_left" 0 0 0 0 1 0 0 0
"omega_right" 0 0 0 0 0 1 0 0
"right" 0 0 0 0 0 0 1 0
