"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right" "err"
"clockwise" 1 0 0 0 0 0 0 0
"counterclockwise" 0 0.916666666666667 0 0.0833333333333333 0 0 0 0.0833333333333333
"left" 0 0 1 0 0 0 0 0
"node_head" 0.363636363636364 0.0909090909090909 0 0.545454545454545 0 0 0 0.454545454545455
"omega_left" 0.0909090909090909 0 0 0 0.909090909090909 0 0 0.0909090909090909
"omega_right" 0 0 0 0 0 1 0 0
"right" 0 0 0 0 0 0 1 0
