"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right"
"clockwise" 7 1 1 2 0 0 1
"counterclockwise" 0 11 0 0 0 0 0
"left" 0 0 11 0 0 0 1
"node_head" 0 0 0 23 0 0 0
"omega_left" 0 0 0 0 11 0 0
"omega_right" 0 0 0 0 0 11 0
"right" 0 0 0 0 0 0 11
